Gene	Inheritance_model
LAMNB2	AR
LAMB2T	AR
NCF2	AR
TSEN15	AR
SEN15	AR
C1orf19	AR
PCH2F	AR
IVNS1ABP	AD
NS1BP	AD
ND1	AD
IMD70	AD
BOS2	AD
PHA2A	AD
PHA2	AD
PSNP2	AD
PRG4	AR
CACP	AR
MSF	AD,AR
SZP	AR
HAPO	AR
PLA2G4A	AR
PLA2G4	AR
GURDP	AR
CDC73	AD
HRPT2	AD
C1orf28	AD
NYS7	AD
KCNT2	AD
SLICK	AD
DEE57	AD
CFH	AD,AR
HF1	AD,AR
HUS	AD,AR
ARMD4	AD,AR
AHUS1	AD,AR
CFHR5	AD
CFHL5	AD
FHR5	AD
CFHR5D	AD
F13B	AR
ASPM	AR
MCPH5	AR
CRB1	AD,AR
RP12	AD,AR
LCA8	AD,AR
PTPRC	AR
CD45	AR
LCA	AR
GFND1	AD
PFHB2	AD
KIF14	AR
KIAA0042	AR
MKS12	AR
MCPH20	AR
DDX59	AR
OFD5	AR
CACNA1S	AD
CACNL1A3	AD
CCHL1A3	AD
TTPP1	AD
HOKPP1	AD
MHS5	AD
PKP1	AR
EDSFS	AR
TNNT2	AD
CMH2	AD
CMD1D	AD
RCM3	AD
LVNC6	AD
LMOD1	AR
SMLMOD	AR
1D	AR
MMIHS3	AR
UBE2T	AR
HSPC150	AR
FANCT	AR
SYT2	AD
CMS7	AD
MYSPC	AD
KDM5B	AR
JARID1B	AR
PUT1	AR
PLU1	AR
RBBP2H1A	AR
MRT65	AR
SNRPE	AD
HYPT11	AD
REN	AD,AR
RTD	AD,AR
ADTKD4	AD,AR
KISS1	AR
HH13	AR
PPP1R15B	AR
CREP	AR
MSSGM2	AR
MDM4	AD
BMFS6	AD
NFASC	AR
KIAA0756	AR
NEDCPMD	AR
CNTN2	AR
TAX	AR
TAX1	AR
FAME5	AR
DSTYK	AD,AR
KIAA0472	AD,AR
RIP5	AD,AR
DUSTYPK	AD,AR
CAKUT1	AD,AR
SPG23	AD,AR
CD55	AR
DAF	AR
CROM	AR
CHAPLE	AR
CR2	AR
C3DR	AR
SLEB9	AR
CVID7	AR
LAMB3	AD,AR
AI1A	AD,AR
HSD11B1	AD
HSD11	AD
HSD11L	AD
CORTRD2	AD
IRF6	AD
VWS	AD
LPS	AD
PIT	AD
PPS1	AD
OFC6	AD
SYT14	AR
SCAR11	AR
HHAT	AR
MART2	AR
SKI1	AR
NNMS	AR
KCNH1	AD
EAG	AD
TMBTS	AD
ZLS1	AD
RD3	AR
LCA12	AR
C1orf36	AR
NEK2	AR
RP67	AR
FLVCR1	AR
AXPC1	AR
PCARP	AR
PTPN14	AR
PEZ	AR
CATLPH	AR
OTSC10	AD
RMD1	AD
CENPF	AR
CILD31	AR
STROMS	AR
USH2A	AR
RP39	AR
TGFB2	AD
LDS4	AD
SLC30A10	AR
ZNT10	AR
HMNDYT1	AR
EPRS	AR
PARS	AR
HLD15	AR
IARS2	AR
CAGSSS	AR
RAB3GAP2	AR
RAB3GAP150	AR
p150	AR
KIAA0839	AR
WARBM2	AR
MARTS1	AR
MIA3	AR
TANGO1	AR
TANGO	AR
KIAA0268	AR
ODCD2	AR
EA3	AD
MDC1B	AR
DEGS1	AR
DES1	AR
MLD	AR
HLD18	AR
WDR26	AD
SKDEAS	AD
LBR	AD,AR
PHA	AD,AR
PHASK	AD,AR
TMEM63A	AD
KIAA0792	AD
HLD19	AD
PYCR2	AR
HLD10	AR
PSEN2	AD
AD4	AD
STM2	AD
CMD1V	AD
ADCK3	AR
COQ8	AR
CABC1	AR
SCAR9	AR
ARCA2	AR
COQ10D4	AR
ARF1	AD
PVNH8	AD
GJC2	AD,AR
GJA12	AD,AR
CX47	AD,AR
PMLDAR	AD,AR
HLD2	AD,AR
SPG44	AD,AR
LMPHM3	AD,AR
IBA57	AR
C1orf69	AR
MMDS3	AR
SPG74	AR
ACTA1	AD,AR
ASMA	AD,AR
NEM3	AD,AR
CFTD1	AD,AR
SHPM	AD,AR
NUP133	AR
NPHS18	AR
GAMOS8	AR
GALNT2	AR
CDG2T	AR
SHFL1	AD
SHFLD	AD
COG2	AR
LDLC	AR
CDG2Q	AR
AGT	AR
SERPINA8	AR
ARV1	AR
DEE38	AR
GNPAT	AR
DHAPAT	AR
RCDP2	AR
EXOC8	AR
EXO84	AR
SEC84	AR
NEDMISB	AR
SPRTN	AR
DVC1	AR
C1orf124	AR
RJALS	AR
EGLN1	AD
PHD2	AD
HIFPH2	AD
C1orf12	AD
ZMYND6	AD
SM20	AD
ECYT3	AD
HALAH	AD
DISC2	AD
COA6	AR
C1orf31	AR
MC4DN13	AR
IRF2BP2	AD
CVID14	AD
TBCE	AR
KCS	AR
KCS1	AR
HRD	AR
PEAMO	AR
B3GALNT2	AR
MGC39558	AR
MDDGA11	AR
LYST	AR
CHS1	AR
EDARADD	AD,AR
ED3	AD,AR
EDA3	AD,AR
ECTD11B	AD,AR
ECTD11A	AD,AR
DFNB45	AR
ACTN2	AD
CMD1AA	AD
CMH23	AD
MYOCOZ	AD
MPD6	AD
MTR	AR
HMAG	AR
RYR2	AD
VTSIP	AD
ARVD2	AD
ARVC2	AD
VACRDS	AD
CHRM3	AR
PBS	AR
EGBRS	AR
FMN2	AR
MRT47	AR
GREM2	AD
PRDC	AD
STHAG9	AD
FH	AD,AR
HLRCC	AD,AR
MCUL1	AD,AR
FMRD	AD,AR
SDCCAG8	AR
CCCAP	AR
SLSN7	AR
BBS16	AR
AKT3	AD
PKBG	AD
MPPH2	AD
ZBTB18	AD
ZNF238	AD
RP58	AD,AR
MRD22	AD
COX20	AR
FAM36A	AR
MC4DN11	AR
HNRNPU	AD
HNRPU	AD
SAFA	AD
DEE54	AD
NLRP3	AD
CIAS1	AD
FCU	AD
FCAS1	AD
NALP3	AD
PYPAF1	AD
DFNA34	AD
KEFH	AD
SPGF2	AD
ASG	AD
CTRCT29	AD
ETM2	AD
ETM	AD
PPKP3	AD
TPO	AD,AR
TPX	AR
TDH2A	AR
